Date;SWDA.L;XLK;IAU;BIL
2014-10-13;0,249711;0,262357;0,244532;0,243400
2014-10-14;0,250587;0,262269;0,244265;0,242879
2014-10-15;0,246687;0,262162;0,246685;0,244466
2014-10-16;0,246952;0,260902;0,247363;0,244783
2014-10-17;0,249062;0,262245;0,245526;0,243167
2014-10-20;0,247593;0,263408;0,246493;0,242506
2014-10-21;0,249247;0,266086;0,244436;0,240231
2014-10-22;0,251883;0,264692;0,243281;0,240143
2014-10-23;0,252668;0,266982;0,240859;0,239491
2014-10-24;0,251710;0,268966;0,240143;0,239181
2014-10-27;0,250969;0,269553;0,240019;0,239459
2014-10-28;0,251435;0,271744;0,238689;0,238132
2014-10-29;0,253366;0,272090;0,235816;0,238728
2014-10-30;0,255205;0,272956;0,233183;0,238655
2014-10-31;0,258490;0,276245;0,227376;0,237889
2014-11-03;0,258552;0,277416;0,226184;0,237848
2014-11-04;0,256716;0,277966;0,226888;0,238430
2014-11-05;0,259385;0,279264;0,222505;0,238846
2014-11-06;0,260805;0,278548;0,222245;0,238402
2014-11-07;0,259760;0,276919;0,226655;0,236666
2014-11-10;0,261133;0,278651;0,222658;0,237558
2014-11-11;0,260670;0,277707;0,224984;0,236638
2014-11-12;0,260841;0,278718;0,223693;0,236748
2014-11-13;0,262015;0,279070;0,223181;0,235734
2014-11-14;0,260920;0,278534;0,226906;0,233641
2014-11-17;0,260903;0,278558;0,226377;0,234162
2014-11-18;0,261741;0,278030;0,227346;0,232882
2014-11-19;0,262100;0,277805;0,225882;0,234212
2014-11-20;0,261238;0,278191;0,227217;0,233354
2014-11-21;0,262744;0,277431;0,227444;0,232381
2014-11-24;0,262104;0,278787;0,226768;0,232341
2014-11-25;0,261734;0,278788;0,227247;0,232231
2014-11-26;0,261045;0,280785;0,226428;0,231742
2014-11-28;0,263788;0,282854;0,220956;0,232402
2014-12-01;0,259719;0,279023;0,229436;0,231822
2014-12-02;0,262149;0,279179;0,226775;0,231897
2014-12-03;0,260895;0,279461;0,228340;0,231305
2014-12-04;0,260355;0,280034;0,227832;0,231780
2014-12-05;0,263580;0,279548;0,225170;0,231703
2014-12-08;0,262346;0,277350;0,228051;0,232252
2014-12-09;0,257898;0,277236;0,232705;0,232161
2014-12-10;0,258575;0,274491;0,233544;0,233391
2014-12-11;0,258766;0,275323;0,232836;0,233076
2014-12-12;0,256037;0,273952;0,234561;0,235450
2014-12-15;0,256375;0,275076;0,230772;0,237776
2014-12-16;0,258450;0,271471;0,232238;0,237841
2014-12-17;0,257027;0,275808;0,229989;0,237175
2014-12-18;0,258272;0,279629;0,228270;0,233829
2014-12-19;0,260929;0,278987;0,227102;0,232983
2014-12-22;0,261870;0,282351;0,222790;0,232990
2014-12-23;0,263684;0,282036;0,222157;0,232123
2014-12-24;0,263633;0,281871;0,222238;0,232258
2014-12-29;0,263796;0,280958;0,223627;0,231620
2014-12-30;0,261875;0,279407;0,226724;0,231994
2014-12-31;0,263279;0,278125;0,225047;0,233550
2015-01-02;0,263304;0,277354;0,226038;0,233303
2015-01-05;0,261512;0,274025;0,230336;0,234127
2015-01-06;0,261056;0,271324;0,233023;0,234597
2015-01-07;0,262442;0,272698;0,231055;0,233805
2015-01-08;0,264902;0,275815;0,227890;0,231392
2015-01-09;0,262054;0,275389;0,230794;0,231763
2015-01-12;0,262100;0,272486;0,233395;0,232019
2015-01-13;0,263783;0,271954;0,232525;0,231737
2015-01-14;0,259743;0,272689;0,233886;0,233682
2015-01-15;0,260609;0,268003;0,238736;0,232653
2015-01-16;0,260042;0,268663;0,240321;0,230973
2015-01-20;0,259247;0,269190;0,242069;0,229494
2015-01-21;0,261577;0,268619;0,241140;0,228664
2015-01-22;0,261851;0,270625;0,240925;0,226599
2015-01-23;0,263589;0,270628;0,239076;0,226706
2015-01-26;0,263940;0,270711;0,237640;0,227709
