window;snapshot_id;base_currency;valuation_rule;requested_start;requested_end;actual_start;actual_end;n_obs;periods_per_year;source_dates_sha256;residual_tolerance;target_return_ann;success;status;message;iterations;objective;budget_residual;target_residual;bound_violation;return_ann;volatility_ann;feasible;weight_SWDA.L;weight_XLK;weight_IAU;weight_BIL
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,16524686;True;0;Optimization terminated successfully;8;0,01348308;-0,00000000;0,00000000;0,00000000;0,16524686;0,11611666;True;0,00000000;0,38204986;0,48642129;0,13152885
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,16886581;True;0;Optimization terminated successfully;8;0,01416476;0,00000000;0,00000000;0,00000000;0,16886581;0,11901578;True;0,00000000;0,39157870;0,49861865;0,10980265
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,17248476;True;0;Optimization terminated successfully;8;0,01486325;0,00000000;0,00000000;0,00000000;0,17248476;0,12191493;True;0,00000000;0,40110754;0,51081601;0,08807645
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,17610371;True;0;Optimization terminated successfully;8;0,01557857;0,00000000;0,00000000;0,00000000;0,17610371;0,12481413;True;0,00000000;0,41063639;0,52301337;0,06635024
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,17972266;True;0;Optimization terminated successfully;8;0,01631070;0,00000000;-0,00000000;0,00000000;0,17972266;0,12771336;True;0,00000000;0,42016523;0,53521073;0,04462404
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,18334161;True;0;Optimization terminated successfully;8;0,01705966;0,00000000;0,00000000;0,00000000;0,18334161;0,13061263;True;0,00000000;0,42969407;0,54740809;0,02289784
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,18696056;True;0;Optimization terminated successfully;8;0,01782544;0,00000000;-0,00000000;0,00000000;0,18696056;0,13351193;True;0,00000000;0,43922291;0,55960545;0,00117164
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,19057951;True;0;Optimization terminated successfully;5;0,01870118;0,00000000;0,00000000;0,00000000;0,19057951;0,13675225;True;0,00000000;0,48067967;0,51932033;0,00000000
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,19419846;True;0;Optimization terminated successfully;5;0,01980158;0,00000000;0,00000000;0,00000000;0,19419846;0,14071808;True;0,00000000;0,52395637;0,47604363;0,00000000
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,19781741;True;0;Optimization terminated successfully;5;0,02112693;0,00000000;0,00000000;0,00000000;0,19781741;0,14535107;True;0,00000000;0,56723306;0,43276694;0,00000000
