window,snapshot_id,base_currency,valuation_rule,requested_start,requested_end,actual_start,actual_end,n_obs,periods_per_year,source_dates_sha256,residual_tolerance,target_return_ann,success,status,message,iterations,objective,budget_residual,target_residual,bound_violation,return_ann,volatility_ann,feasible,weight_SWDA.L,weight_XLK,weight_IAU,weight_BIL
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.08956177,True,0,Optimization terminated successfully,8,0.00536836,0.00000000,0.00000000,0.00000000,0.08956177,0.07326908,True,0.00000000,0.30337087,0.23267283,0.46395630
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.09265279,True,0,Optimization terminated successfully,8,0.00580591,0.00000000,-0.00000000,0.00000000,0.09265279,0.07619652,True,0.00000000,0.31548257,0.24202447,0.44249297
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.09574381,True,0,Optimization terminated successfully,8,0.00626062,0.00000000,0.00000000,0.00000000,0.09574381,0.07912411,True,0.00000000,0.32759427,0.25137611,0.42102963
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.09883484,True,0,Optimization terminated successfully,8,0.00673251,0.00000000,0.00000000,0.00000000,0.09883484,0.08205184,True,0.00000000,0.33970596,0.26072774,0.39956629
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.10192586,True,0,Optimization terminated successfully,7,0.00722155,0.00000000,0.00000000,0.00000000,0.10192586,0.08497970,True,0.00000000,0.35181766,0.27007938,0.37810295
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.10501689,True,0,Optimization terminated successfully,8,0.00772776,0.00000000,0.00000000,0.00000000,0.10501689,0.08790767,True,0.00000000,0.36392936,0.27943102,0.35663962
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.10810791,True,0,Optimization terminated successfully,8,0.00825113,0.00000000,0.00000000,0.00000000,0.10810791,0.09083574,True,0.00000000,0.37604106,0.28878266,0.33517628
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.11119893,True,0,Optimization terminated successfully,8,0.00879167,0.00000000,-0.00000000,0.00000000,0.11119893,0.09376391,True,0.00000000,0.38815276,0.29813430,0.31371294
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.11428996,True,0,Optimization terminated successfully,8,0.00934937,0.00000000,0.00000000,0.00000000,0.11428996,0.09669215,True,0.00000000,0.40026446,0.30748594,0.29224960
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.11738098,True,0,Optimization terminated successfully,8,0.00992424,0.00000000,0.00000000,0.00000000,0.11738098,0.09962048,True,0.00000000,0.41237616,0.31683757,0.27078627
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.12047201,True,0,Optimization terminated successfully,8,0.01051627,0.00000000,-0.00000000,0.00000000,0.12047201,0.10254887,True,0.00000000,0.42448786,0.32618921,0.24932293
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.12356303,True,0,Optimization terminated successfully,8,0.01112547,0.00000000,0.00000000,0.00000000,0.12356303,0.10547732,True,0.00000000,0.43659956,0.33554085,0.22785959
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.12665405,True,0,Optimization terminated successfully,8,0.01175183,0.00000000,0.00000000,0.00000000,0.12665405,0.10840584,True,0.00000000,0.44871126,0.34489249,0.20639625
