date;value
2020-10-20;16711,17238500
2020-10-21;16725,65105923
2020-10-22;16649,30305802
2020-10-23;16662,02162977
2020-10-26;16583,69132110
2020-10-27;16599,11079617
2020-10-28;16358,74815804
2020-10-29;16373,71551011
2020-10-30;16331,62796979
2020-11-02;16436,12394104
2020-11-03;16542,50664631
2020-11-04;16714,37673986
2020-11-05;16951,79790678
2020-11-06;16958,85015645
2020-11-09;16753,29941510
2020-11-10;16666,24563905
2020-11-11;16736,14281497
2020-11-12;16748,05586189
2020-11-13;16805,56494369
2020-11-16;16867,77173514
2020-11-17;16818,68488139
2020-11-18;16753,06875088
2020-11-19;16755,66958707
2020-11-20;16743,21710920
2020-11-23;16619,79264724
2020-11-24;16608,30002127
2020-11-25;16604,74572581
2020-11-27;16587,57075375
2020-11-30;16546,21404977
2020-12-01;16720,16699820
2020-12-02;16769,51589640
2020-12-03;16796,27896723
2020-12-04;16810,84467346
2020-12-07;16909,80056836
2020-12-08;16930,67755444
2020-12-09;16821,01835822
2020-12-10;16816,01811454
2020-12-11;16820,53470886
2020-12-14;16796,99937127
2020-12-15;16873,28227599
2020-12-16;16919,77938163
2020-12-17;16983,59579686
2020-12-18;16975,66098656
2020-12-21;16962,78082489
2020-12-22;16954,40910330
2020-12-23;16956,29875754
2020-12-24;16968,84619881
2020-12-29;17014,82018144
2020-12-30;17040,71828719
2020-12-31;17052,51802845
2021-01-04;17153,84885525
2021-01-05;17175,22063296
2021-01-06;17092,32430045
2021-01-07;17128,43639367
2021-01-08;16932,30046318
2021-01-11;16908,74127846
2021-01-12;16911,37228567
2021-01-13;16903,50016487
2021-01-14;16887,82689758
2021-01-15;16787,66519890
2021-01-19;16861,68555602
2021-01-20;17008,90167909
2021-01-21;17019,23944301
2021-01-22;16965,99422250
2021-01-25;16968,38988121
2021-01-26;16959,43651723
2021-01-27;16861,06316559
2021-01-28;16871,72287563
2021-01-29;16798,05160350
2021-02-01;16911,37556733
2021-02-02;16912,28768165
2021-02-03;16896,48242005
2021-02-04;16824,91427771
2021-02-05;16882,20149724
2021-02-08;16962,26067688
2021-02-09;16966,90141235
2021-02-10;16977,04428045
2021-02-11;16962,88679888
2021-02-12;16957,44933671
2021-02-16;16879,48453515
2021-02-17;16804,39507697
2021-02-18;16767,54183820
2021-02-19;16796,55309203
2021-02-22;16807,47814662
2021-02-23;16770,49237221
2021-02-24;16805,25347507
2021-02-25;16654,45692550
2021-02-26;16524,19215117
2021-03-01;16601,78072992
2021-03-02;16599,72175999
2021-03-03;16500,63154683
2021-03-04;16395,07208265
2021-03-05;16399,78814128
2021-03-08;16390,00553457
2021-03-09;16533,52187146
2021-03-10;16555,24645358
2021-03-11;16601,15004705
2021-03-12;16590,94679359
2021-03-15;16634,49665627
2021-03-16;16666,56600176
2021-03-17;16688,79449697
2021-03-18;16623,66735682
2021-03-19;16629,47071858
2021-03-22;16659,74214014
2021-03-23;16618,89933905
2021-03-24;16619,83067089
2021-03-25;16579,68875389
2021-03-26;16649,77375856
2021-03-29;16590,63796661
2021-03-30;16510,96126184
2021-03-31;16599,43624238
2021-04-01;16695,50439962
2021-04-06;16849,36036840
2021-04-07;16857,98431830
2021-04-08;17002,36543917
2021-04-09;17000,57600589
2021-04-12;16941,80780115
2021-04-13;17030,16890956
2021-04-14;16964,04850841
2021-04-15;17149,21164596
2021-04-16;17185,91712162
2021-04-19;17104,05585815
2021-04-20;17066,70268714
2021-04-21;17192,53780118
2021-04-22;17135,57143155
2021-04-23;17161,91923254
2021-04-26;17208,57115751
2021-04-27;17168,73203693
2021-04-28;17155,86246055
2021-04-29;17119,32725143
2021-04-30;17056,81006205
2021-05-04;16973,44937964
2021-05-05;17017,55872454
2021-05-06;17165,71073071
2021-05-07;17275,55424850
2021-05-10;17179,18649251
2021-05-11;17117,61629558
2021-05-12;16927,61443384
2021-05-13;17015,48125259
2021-05-14;17177,63296109
2021-05-17;17223,99285817
2021-05-18;17201,97466146
2021-05-19;17186,89176869
2021-05-20;17331,18807702
2021-05-21;17323,30767835
2021-05-24;17419,19288048
2021-05-25;17481,81626638
2021-05-26;17472,64704859
2021-05-27;17451,20060706
2021-05-28;17493,33622755
2021-06-01;17464,65261165
2021-06-02;17502,02565829
2021-06-03;17384,23697567
2021-06-04;17475,98343343
2021-06-07;17496,49745613
2021-06-08;17483,08585744
2021-06-09;17486,62822545
2021-06-10;17515,71236494
2021-06-11;17476,32141764
2021-06-14;17465,26879542
2021-06-15;17442,40270837
2021-06-16;17350,73974856
2021-06-17;17224,45326681
2021-06-18;17170,50119445
2021-06-21;17249,47020005
2021-06-22;17256,49265056
2021-06-23;17244,14025293
2021-06-24;17273,07625447
2021-06-25;17294,18402150
2021-06-28;17310,10383510
2021-06-29;17286,86761956
2021-06-30;17307,28358669
2021-07-01;17337,47602892
2021-07-02;17401,13608772
2021-07-06;17426,62786509
2021-07-07;17469,34503141
2021-07-08;17429,00847340
2021-07-09;17477,11860064
2021-07-12;17476,10474458
2021-07-13;17499,95551502
2021-07-14;17553,04825746
2021-07-15;17531,35291733
2021-07-16;17467,62504712
2021-07-19;17416,58882864
2021-07-20;17475,10105135
2021-07-21;17481,10776845
2021-07-22;17500,31046166
2021-07-23;17520,67428128
2021-07-26;17504,25169990
2021-07-27;17468,92191118
2021-07-28;17501,91105810
2021-07-29;17570,14646788
2021-07-30;17525,09500132
2021-08-02;17527,45288090
2021-08-03;17531,50492495
2021-08-04;17546,00984688
2021-08-05;17546,42044839
2021-08-06;17428,86168991
2021-08-09;17329,56353391
2021-08-10;17315,70486183
2021-08-11;17384,69963957
2021-08-12;17414,22144204
2021-08-13;17509,35993421
2021-08-16;17534,01591352
2021-08-17;17514,15672300
2021-08-18;17474,83962134
2021-08-19;17473,99205019
2021-08-20;17537,37062562
2021-08-23;17652,61213324
2021-08-24;17651,99556232
2021-08-25;17618,61405818
2021-08-26;17598,58855843
2021-08-27;17708,51014857
2021-08-31;17718,85579514
2021-09-01;17729,38185277
2021-09-02;17706,23661450
2021-09-03;17790,69336479
2021-09-07;17658,14520844
2021-09-08;17613,07924217
2021-09-09;17612,28887059
2021-09-10;17529,19679488
2021-09-13;17541,64579179
2021-09-14;17582,15860725
2021-09-15;17567,29606580
2021-09-16;17420,68063390
2021-09-17;17335,84138336
2021-09-20;17274,33824326
2021-09-21;17344,23561869
2021-09-22;17384,03744821
2021-09-23;17376,00245706
2021-09-24;17374,86931810
2021-09-27;17343,57019857
2021-09-28;17126,31049988
2021-09-29;17123,30994059
2021-09-30;17184,44616044
2021-10-01;17227,09964706
2021-10-04;17183,15617502
2021-10-05;17216,42646872
2021-10-06;17220,16658651
2021-10-07;17255,13399160
2021-10-08;17242,15060163
2021-10-11;17232,04871444
2021-10-12;17228,90600241
2021-10-13;17317,10833505
2021-10-14;17401,73419692
2021-10-15;17341,26364582
2021-10-18;17351,67479996
2021-10-19;17387,16258570
2021-10-20;17435,80541902
2021-10-21;17434,20241908
2021-10-22;17470,03677860
2021-10-25;17521,10022863
2021-10-26;17497,20380639
2021-10-27;17508,03582202
2021-10-28;17522,70605866
2021-10-29;17503,84434414
2021-11-01;17544,04138364
2021-11-02;17565,67982348
2021-11-03;17523,65519842
2021-11-04;17649,55826114
2021-11-05;17744,52492827
2021-11-08;17763,84176952
2021-11-09;17772,46649000
2021-11-10;17811,64127200
2021-11-11;17856,79263191
2021-11-12;17892,23093371
2021-11-15;17883,47046327
2021-11-16;17869,77127274
2021-11-17;17895,02276717
2021-11-18;17892,47982547
2021-11-19;17870,42103096
2021-11-22;17742,18531843
2021-11-23;17672,30128452
2021-11-24;17693,41278742
2021-11-26;17581,47851547
2021-11-29;17648,73952844
2021-11-30;17575,35403897
2021-12-01;17600,72021649
2021-12-02;17542,87847272
2021-12-03;17560,23188169
2021-12-06;17579,93378214
2021-12-07;17721,46871490
2021-12-08;17727,75253790
2021-12-09;17685,43152538
2021-12-10;17725,85429077
2021-12-13;17707,61006887
2021-12-14;17600,70541564
2021-12-15;17669,21217501
2021-12-16;17704,85041369
2021-12-17;17669,87688721
2021-12-20;17583,98463965
2021-12-21;17654,51249405
2021-12-22;17746,33336829
2021-12-23;17779,93506074
2021-12-29;17809,33493781
2021-12-30;17837,61173648
2021-12-31;17852,63080215
2022-01-04;17810,61261645
2022-01-05;17734,64936261
2022-01-06;17622,81521259
2022-01-07;17617,86392112
2022-01-10;17596,57912760
2022-01-11;17709,93064004
2022-01-12;17740,36659811
2022-01-13;17676,38566798
2022-01-14;17640,36568093
2022-01-18;17587,22791953
2022-01-19;17628,43488360
2022-01-20;17609,95106970
2022-01-21;17518,76026769
2022-01-24;17467,90242362
2022-01-25;17461,65302154
2022-01-26;17429,12696120
2022-01-27;17361,23618310
2022-01-28;17382,77753418
2022-01-31;17502,57165394
2022-02-01;17530,15023663
2022-02-02;17582,32885534
2022-02-03;17485,16239448
2022-02-04;17493,12579675
2022-02-07;17557,23190357
2022-02-08;17604,33015646
2022-02-09;17726,83481204
2022-02-10;17613,64875307
2022-02-11;17681,74528830
2022-02-14;17689,81278902
2022-02-15;17693,51702717
2022-02-16;17765,82813480
2022-02-17;17796,37557954
2022-02-18;17737,45147335
2022-02-22;17718,58485181
2022-02-23;17687,75180169
2022-02-24;17674,31018083
2022-02-25;17762,40704764
2022-02-28;17850,23906808
2022-03-01;17940,95985448
2022-03-02;17960,32838373
2022-03-03;17944,70110041
2022-03-04;17962,47059481
2022-03-07;17951,60031959
2022-03-08;18045,78305494
2022-03-09;18029,39449129
2022-03-10;17988,30049234
2022-03-11;17933,00632674
2022-03-14;17801,55704292
2022-03-15;17791,80535958
2022-03-16;17937,18057853
2022-03-17;18002,08999540
2022-03-18;18019,88920301
2022-03-21;18061,71596650
2022-03-22;18071,23979479
2022-03-23;18103,46969619
2022-03-24;18202,72122417
2022-03-25;18191,43945263
2022-03-28;18145,90510920
2022-03-29;18238,29566462
2022-03-30;18241,98379338
2022-03-31;18204,71785154
2022-04-01;18138,39772464
2022-04-04;18225,86598759
2022-04-05;18136,14842739
2022-04-06;18066,77376994
2022-04-07;18088,67489607
2022-04-08;18154,84990810
2022-04-11;18107,48590464
2022-04-12;18163,05947458
2022-04-13;18211,85910206
2022-04-14;18143,68443157
2022-04-19;18100,21302645
2022-04-20;18150,39719566
2022-04-21;18095,83509088
2022-04-22;17942,88673834
2022-04-25;17801,97570588
2022-04-26;17759,93942398
2022-04-27;17742,60561879
2022-04-28;17864,83072140
2022-04-29;17787,65245474
2022-05-03;17693,07728669
2022-05-04;17791,28530006
2022-05-05;17714,94122007
2022-05-06;17702,03771480
2022-05-09;17463,27763314
2022-05-10;17413,96711656
2022-05-11;17451,57472556
2022-05-12;17301,15772543
2022-05-13;17349,54496892
2022-05-16;17385,37778752
2022-05-17;17385,96778593
2022-05-18;17285,58369050
2022-05-19;17326,92416131
2022-05-20;17323,30367541
2022-05-23;17426,18464923
2022-05-24;17425,45935626
2022-05-25;17424,98589930
2022-05-26;17489,84348444
2022-05-27;17579,85854687
2022-05-31;17498,33377113
2022-06-01;17541,46241434
2022-06-06;17536,49507672
2022-06-07;17612,83744818
2022-06-08;17590,89718447
2022-06-09;17435,04185671
2022-06-10;17346,47017492
2022-06-13;16927,88558866
2022-06-14;16887,28576785
2022-06-15;17072,14575655
2022-06-16;16931,41014809
2022-06-17;16904,77263442
2022-06-21;16997,56195407
2022-06-22;17020,77444573
2022-06-23;17009,86773171
2022-06-24;17178,60263336
2022-06-27;17168,16752788
2022-06-28;17053,82542172
2022-06-29;17037,46154948
2022-06-30;16906,76693530
2022-07-01;16933,50413133
2022-07-05;16739,97565441
2022-07-06;16635,01773774
2022-07-07;16701,46601872
2022-07-08;16717,49039752
2022-07-11;16625,86152311
2022-07-12;16572,64869183
2022-07-13;16581,10023436
2022-07-14;16439,23070184
2022-07-15;16502,49923876
2022-07-18;16493,91162563
2022-07-19;16579,76291018
2022-07-20;16554,48862142
2022-07-21;16718,48541707
2022-07-22;16713,04046283
2022-07-25;16669,74736972
2022-07-26;16606,90162230
2022-07-27;16796,39391814
2022-07-28;16963,23501413
2022-07-29;17043,41775936
2022-08-01;17090,01800654
2022-08-02;17047,84593173
2022-08-03;17128,66791670
2022-08-04;17222,14029921
2022-08-05;17165,27784734
2022-08-08;17214,57661008
2022-08-09;17192,76559995
2022-08-10;17244,56214043
2022-08-11;17243,23895716
2022-08-12;17344,02006790
2022-08-15;17309,89956539
2022-08-16;17302,59045392
2022-08-17;17249,22717535
2022-08-18;17267,13806300
2022-08-19;17203,48054382
2022-08-22;17094,32390732
2022-08-23;17099,36797275
2022-08-24;17134,81258995
2022-08-25;17186,92766367
2022-08-26;17037,07843766
2022-08-30;16924,17629581
2022-08-31;16868,94664620
2022-09-01;16796,04853136
2022-09-02;16867,86944568
2022-09-06;16790,80965843
2022-09-07;16875,87180422
2022-09-08;16881,84257831
2022-09-09;16961,58598977
2022-09-12;17025,18454908
2022-09-13;16840,75074349
2022-09-14;16797,88738662
2022-09-15;16677,34253169
2022-09-16;16667,47093585
2022-09-20;16650,44051529
2022-09-21;16668,20608538
2022-09-22;16603,75747402
2022-09-23;16519,97873792
2022-09-26;16501,18487573
2022-09-27;16481,54698480
2022-09-28;16608,13049639
2022-09-29;16489,31788301
2022-09-30;16461,37616750
2022-10-03;16585,91494530
2022-10-04;16833,47524446
2022-10-05;16792,36023320
2022-10-06;16798,31973700
2022-10-07;16584,21637977
2022-10-10;16389,90177578
2022-10-11;16322,48367085
2022-10-12;16373,94092248
2022-10-13;16308,61988181
2022-10-14;16176,02562045
2022-10-17;16244,56538144
2022-10-18;16310,06659861
2022-10-19;16188,16810836
2022-10-20;16178,91011226
2022-10-21;16383,34580104
2022-10-24;16401,27893939
2022-10-25;16457,57657653
2022-10-26;16491,08511259
2022-10-27;16439,95838966
2022-10-28;16408,98652297
2022-10-31;16340,55919850
2022-11-01;16427,76388004
2022-11-02;16308,30255344
2022-11-03;16250,90108551
2022-11-04;16493,90875504
2022-11-07;16479,10854368
2022-11-08;16683,33887422
2022-11-09;16614,53792455
2022-11-10;16996,30378549
2022-11-11;17084,21478410
2022-11-14;17113,74746440
2022-11-15;17147,29770709
2022-11-16;17077,79185303
2022-11-17;17012,04542360
2022-11-18;16959,97519965
2022-11-21;16907,50558699
2022-11-22;16953,22639099
2022-11-23;17009,32008578
2022-11-25;17009,41829974
2022-11-28;16903,19984152
2022-11-29;16919,47997859
2022-11-30;17111,02465095
2022-12-01;17266,53487628
2022-12-02;17216,80205289
2022-12-05;17018,70955135
2022-12-06;16976,73853907
2022-12-07;17040,65819579
2022-12-08;17086,95082133
2022-12-09;17100,48044767
2022-12-12;17049,20817433
2022-12-13;17267,59625471
2022-12-14;17224,88522197
2022-12-15;16969,30665472
2022-12-16;17009,40793214
2022-12-19;16955,55065441
2022-12-20;17119,32896528
2022-12-21;17173,85430748
2022-12-22;16990,18323294
2022-12-23;17030,58664849
2022-12-28;17018,84939410
2022-12-29;17136,12593511
2022-12-30;17167,74508772
2023-01-03;17244,32476740
2023-01-04;17360,62320938
2023-01-05;17209,45621193
2023-01-06;17454,05379020
2023-01-09;17508,26381277
2023-01-10;17531,22923754
2023-01-11;17588,38252085
2023-01-12;17735,97340815
